SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7
1791375,AzLuFa,1,0,-2,-2,-2,-2,-2,-1,-2
1802123,mello,1,0,-2,-2,-2,-2,-2,-1,-2
1833185,Danimals,2,0,-2,-2,-2,-2,-2,-1,-1
1844112,FoUr,1,0,-2,-2,-2,-2,-2,-1,-2
1844994,Flame,1,0,-2,-2,-2,-2,-2,-2,-1
1866109,BubbleFuel,1,0,-1,-2,-2,-2,-2,-2,-2
1906382,KatBot,5,0,-2,-1,-2,-1,-1,-1,-1
1918686,roadkill,3,0,-1,-1,-2,-1,-2,-2,-2
1927744,pr0j3cts,1,0,-1,-2,-2,-2,-2,-2,-2
1931842,TPYO,1,0,-2,-2,-2,-2,-1,-2,-2
1940641,100 Days Of Solitude,1,0,-2,-1,-2,-2,-2,-2,-2
1941140,Moist | kennypenny,2,0,-2,-2,-2,-2,-1,-1,-2
1944467,SUPERUNKNOWN,1,0,-2,-1,-2,-2,-2,-2,-2
1954849,Salamanderman,1,0,-2,-2,-2,-1,-2,-2,-2
1957958,50 Rats in a Trenchcoat,1,0,-1,-2,-2,-2,-2,-2,-2
1966716,LewdCelebs4Free,4,0,-1,-2,-2,-1,-1,-1,-2
1966739,ImYourDade,1,0,-2,-2,-2,-2,-2,-2,-1
1974127,Roz's Friend | aujory,2,0,-2,-1,-2,-2,-2,-1,-2
1994587,DQ,1,0,-2,-2,-2,-2,-2,-2,-1
2019913,jatpuan,1,0,-2,-2,-2,-2,-2,-1,-2
2026451,ASAPferq,1,0,-2,-1,-2,-2,-2,-2,-2
2029721,Ghost Rider,1,1,-2,-2,-2,-2,-2,-2,9
2029884,Nudepenguin,4,0,-2,-1,-2,-1,-1,-2,-1
2038523,thesiscat,1,0,-1,-2,-2,-2,-2,-2,-2
2053276,#215 | Ogre,2,0,-2,-2,-2,-1,-2,-1,-2
2086583,SirTaco,2,0,-2,-2,-2,-2,-2,-1,-1
2103929,sidewinder572,1,0,-1,-2,-2,-2,-2,-2,-2
2110985,theassistant,2,0,-2,-2,-2,-1,-2,-1,-2
2111039,Uncle B,2,1,-2,-2,-2,17,-1,-2,-2
2114773,Raffshot,1,0,-2,-1,-2,-2,-2,-2,-2
2120266,hellojoe34,1,0,-2,-1,-2,-2,-2,-2,-2
2122811,$W@6 | rocketf20,1,0,-2,-1,-2,-2,-2,-2,-2
2122814,imanastyhoe,1,0,-2,-2,-2,-2,-2,-2,-1
2124348,thehumanblob,1,0,-2,-2,-2,-1,-2,-2,-2
2133564,Brandt,1,0,-1,-2,-2,-2,-2,-2,-2
2136488,Sacred,1,0,-1,-2,-2,-2,-2,-2,-2
2140092,Jet,5,1,-2,-1,9,-1,-1,-1,-2
2141037,trfjosh,1,0,-2,-2,-2,-2,-2,-2,-1
2143817,A HUMAN | Agile,1,0,-2,-1,-2,-2,-2,-2,-2
2145653,doubledown8,1,0,-1,-2,-2,-2,-2,-2,-2
2147280,slowtai,3,0,-2,-1,-2,-1,-2,-2,-1
2148920,thicceon,2,0,-2,-2,-2,-2,-2,-1,-1
2149456,Quadragesimus,4,0,-1,-1,-2,-2,-1,-1,-2
2154680,Godslayer903,2,0,-1,-1,-2,-2,-2,-2,-2
2156746,Wobs,1,0,-1,-2,-2,-2,-2,-2,-2
2161709,SpiritGun,1,0,-2,-2,-2,-2,-1,-2,-2
2167802,Bebop,1,0,-2,-1,-2,-2,-2,-2,-2
2172930,Sav,1,0,-2,-1,-2,-2,-2,-2,-2
2175146,Thumos,2,0,-2,-2,-2,-2,-1,-1,-2
2177428,Chuchaka2112,2,0,-1,-2,-2,-2,-2,-1,-2
2178856,Abermega,1,0,-1,-2,-2,-2,-2,-2,-2
2179108,Mud,5,0,-1,-1,-2,-1,-1,-2,-1
2182633,sisig,1,0,-2,-1,-2,-2,-2,-2,-2
2184214,Joobey,1,0,-2,-2,-2,-2,-1,-2,-2
2184641,JoJoMyth,1,0,-2,-2,-2,-2,-2,-1,-2
2189946,GNIK,1,1,-2,-2,-2,25,-2,-2,-2
2192126,NattyIce,1,0,-2,-2,-2,-2,-2,-2,-1
2194031,Dorian uwu,1,0,-2,-2,-2,-2,-2,-1,-2
2207286,davidparkpark,2,0,-2,-2,-2,-2,-1,-1,-2
2208548,Zant,2,0,-2,-2,-2,-2,-1,-1,-2
2216222,Nayolfa,1,0,-2,-2,-2,-2,-2,-1,-2
2222458,TheDarkMan,1,0,-2,-2,-2,-2,-2,-2,-1
2222681,702 | Flameo Red,1,0,-2,-2,-2,-2,-2,-2,-1
